"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Can Apple turn #wearables mainstream? Read about it in our Flipboard mag: http://t.co/qIVCQ1e3Ab http://t.co/o01d1WNo5A",FALSE,1,NA,2014-08-23 01:00:51,FALSE,NA,"502983776495206401",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",3,FALSE,FALSE,NA,NA
"Product Support Specialist, Senior UI Designer...we've got a wide range of open positions. Join our team! http://t.co/Mab3rDsjKR w/ @PGiJobs",FALSE,1,NA,2014-08-23 00:30:32,FALSE,NA,"502976144699047937",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Even #PGiGuy is getting in on the #IceBucketChallenge! See more videos and follow us on Instagram: http://t.co/Kp0NGyUp7H #StrikeOutALS",FALSE,0,NA,2014-08-23 00:00:26,FALSE,NA,"502968570033479680",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"We're hiring! View our open positions here: http://t.co/Mab3rDsjKR w/ @PGiJobs #jobs #careerhunt #hiring http://t.co/cfLj946fLG",FALSE,0,NA,2014-08-22 23:01:40,FALSE,NA,"502953780682711040",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"Our collaboration tools are trusted by 75% of the Fortune 100. See why: http://t.co/A346LqWKgK",FALSE,1,NA,2014-08-22 22:01:02,FALSE,NA,"502938523805437955",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"We're really excited to be partnering with @thinkingphones &amp; integrating our products: http://t.co/iTem5LsjSf by @talkin_cloud @dkobialka",FALSE,0,NA,2014-08-22 21:01:18,FALSE,NA,"502923489909956608",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#HR: Watch our recent webcast, learn innovative ways to communicate benefits to a dispersed workforce http://t.co/hORnOQyg1p #humanresources",FALSE,0,NA,2014-08-22 20:01:33,FALSE,NA,"502908451430092801",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",2,FALSE,FALSE,NA,NA
"#IT's biggest challenges = #mobility, cloud &amp; big data. We addressed these challenges at #GartnerCAT : http://t.co/9IgwC28DXN",FALSE,0,NA,2014-08-22 19:02:27,FALSE,NA,"502893581250854912",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Millennials: 9 career tips by Fairy God-Millennial @BlakelyAgs: http://t.co/GDmOdemGl6 w/ @chelseakrost Career Guide http://t.co/MWKtodLqIa",FALSE,0,NA,2014-08-22 18:02:09,FALSE,NA,"502878405210427392",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Going on a #workation? You can successfully enjoy it by incorporating these 4 tips: http://t.co/skofHRIHmI http://t.co/e5VLZLtcEp",FALSE,0,NA,2014-08-22 17:11:36,FALSE,NA,"502865681830789120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGi",0,FALSE,FALSE,NA,NA
